Test Configuration
compiler: ['sabre0330', 'sqgm', 'qiskit141']
optimization level: 0
mode: None
backend: ibm_sherbrooke
qasm directory: ./exp-in/qasm/
checkpoint directory: None
circuit, sabre0330_est_runtime, sabre0330_qiskit_scheduler_runtime, sqgm_est_runtime, sqgm_qiskit_scheduler_runtime, qiskit141_est_runtime, qiskit141_qiskit_scheduler_runtime, 
vqe16,3.47093333333334E-05,3.47093333333333E-05,0.000021696,0.000021696,9.64977777777778E-06,9.64977777777778E-06, 
qft8,5.41937777777776E-05,5.41937777777778E-05,5.47626666666665E-05,5.47626666666667E-05,3.46097777777778E-05,3.46097777777778E-05, 
qft64,0.00183830044444479,0.00183830044444444,0.000921066666666728,0.000921066666666667,0.0010871395555556,0.00108713955555556, 
hamilsim8,1.36248888888889E-05,1.36248888888889E-05,0.000011456,0.000011456,4.05333333333333E-06,4.05333333333333E-06, 
vqe4,0.000002112,0.000002112,0.000002112,0.000002112,1.99822222222222E-06,1.99822222222222E-06, 
qft4,1.26933333333333E-05,1.26933333333333E-05,1.22168888888889E-05,1.22168888888889E-05,1.07377777777778E-05,1.07377777777778E-05, 
qaoa8,6.0814222222222E-05,6.08142222222222E-05,0.0000540799999999998,0.00005408,0.000042816,0.000042816, 
hamilsim4,4.01066666666667E-06,4.01066666666667E-06,4.01066666666667E-06,4.01066666666667E-06,1.88444444444444E-06,1.88444444444444E-06, 
qft16,0.000135552,0.000135552,0.000111381333333333,0.000111381333333333,0.000131591111111111,0.000131591111111111, 
qaoa16,0.000226752,0.000226752,0.000203022222222222,0.000203022222222222,0.000172928,0.000172928, 
hamilsim16,0.0000481279999999999,0.000048128,2.81813333333334E-05,2.81813333333333E-05,8.71822222222222E-06,8.71822222222222E-06, 
qaoa4,0.00001216,0.00001216,0.00001216,0.00001216,1.09653333333333E-05,1.09653333333333E-05, 
vqe8,1.25795555555556E-05,1.25795555555556E-05,1.06382222222222E-05,1.06382222222222E-05,4.52977777777778E-06,4.52977777777778E-06, 
hamilsim32,0.000115605333333333,0.000115605333333333,6.13475555555553E-05,6.13475555555556E-05,1.78204444444445E-05,1.78204444444444E-05, 
qft32,0.000509660444444438,0.000509660444444445,0.000275071999999998,0.000275072,0.000328675555555552,0.000328675555555556, 
